투자자구분,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"금융투자","7.7484184E7","7.2168214E7","-5315970.0","296217.0","283360.0","-12857.0"
"보험","944129.0","773753.0","-170376.0","25008.0","22939.0","-2069.0"
"투신","2203093.0","2237840.0","34746.0","56169.0","58271.0","2102.0"
"사모","1244792.0","1189487.0","-55305.0","40457.0","36968.0","-3489.0"
"은행","447526.0","474720.0","27193.0","9314.0","8541.0","-772.0"
"기타금융","113657.0","94748.0","-18910.0","2705.0","2063.0","-642.0"
"연기금 등","3663699.0","3530168.0","-133532.0","223795.0","221156.0","-2639.0"
"기관합계","8.6101082E7","8.0468929E7","-5632153.0","653665.0","633299.0","-20366.0"
"기타법인","1.4383767E7","1.4362981E7","-20786.0","26275.0","29058.0","2783.0"
"개인","2.6201989E8","2.662862E8","4266310.0","1509969.0","1532383.0","22414.0"
"외국인","1.04759554E8","1.06139608E8","1380053.0","775293.0","770810.0","-4483.0"
"기타외국인","725107.0","731683.0","6576.0","4274.0","3926.0","-349.0"
"전체","4.679894E8","4.679894E8","0.0","2969477.0","2969477.0","0.0"